trio_name	clade	role	code	accession	notes
Acraus1_Acrten2_Acrspa3	cnidaria	A	Acraus1	GCA_964273435.1	
Acraus1_Acrten2_Acrspa3	cnidaria	B	Acrten2	GCA_014633955.1	
Acraus1_Acrten2_Acrspa3	cnidaria	C	Acrspa3	GCA_031770025.1	
Acrdig1_Acrhya2_Acrmil3	cnidaria	A	Acrdig1	GCF_000222465.1	dup_species_across_trios
Acrdig1_Acrhya2_Acrmil3	cnidaria	B	Acrhya2	GCA_964291705.1	dup_species_across_trios
Acrdig1_Acrhya2_Acrmil3	cnidaria	C	Acrmil3	GCF_013753865.1	
Acrdig1_Acrhya2_Acrspi3	cnidaria	A	Acrdig1	GCF_000222465.1	dup_species_across_trios
Acrdig1_Acrhya2_Acrspi3	cnidaria	B	Acrhya2	GCA_964291705.1	dup_species_across_trios
Acrdig1_Acrhya2_Acrspi3	cnidaria	C	Acrspi3	GCA_964261235.1	
Acrmil1_Acrnas2_Acrmic3	cnidaria	A	Acrmil1	GCF_013753865.1	
Acrmil1_Acrnas2_Acrmic3	cnidaria	B	Acrnas2	GCA_014634205.1	
Acrmil1_Acrnas2_Acrmic3	cnidaria	C	Acrmic3	GCA_014634165.1	
Agabis1_Agabit2_Agasin3	fungi	A	Agabis1	GCF_000300575.1	
Agabis1_Agabit2_Agasin3	fungi	B	Agabit2	GCA_030246685.1	
Agabis1_Agabit2_Agasin3	fungi	C	Agasin3	GCA_022315185.1	
Anoara1_Anogam2_Anomer3	arthropoda	A	Anoara1	GCF_016920715.1	
Anoara1_Anogam2_Anomer3	arthropoda	B	Anogam2	GCF_943734735.2	
Anoara1_Anogam2_Anomer3	arthropoda	C	Anomer3	GCF_017562075.2	
Apidor1_Apimel2_Apicer3	arthropoda	A	Apidor1	GCF_000469605.1	
Apidor1_Apimel2_Apicer3	arthropoda	B	Apimel2	GCF_003254395.2	
Apidor1_Apimel2_Apicer3	arthropoda	C	Apicer3	GCF_029169275.1	
Aplcau1_Aplaer2_Aplcav3	porifera	A	Aplcau1	GCA_965643675.1	
Aplcau1_Aplaer2_Aplcav3	porifera	B	Aplaer2	GCA_949841015.1	
Aplcau1_Aplaer2_Aplcav3	porifera	C	Aplcav3	GCA_964659575.1	
Apovar1_Apotra2_Apooss3	fungi	A	Apovar1	GCA_002749535.1	
Apovar1_Apotra2_Apooss3	fungi	B	Apotra2	GCA_000696975.1	
Apovar1_Apotra2_Apooss3	fungi	C	Apooss3	GCA_014839865.1	
Armbor1_Armgal2_Armalt3	fungi	A	Armbor1	GCA_030435635.1	
Armbor1_Armgal2_Armalt3	fungi	B	Armgal2	GCA_037576215.1	
Armbor1_Armgal2_Armalt3	fungi	C	Armalt3	GCA_022818075.1	
Bolbar1_Bolret2_Bolnob3	fungi	A	Bolbar1	GCA_038088775.1	
Bolbar1_Bolret2_Bolnob3	fungi	B	Bolret2	GCA_038093535.1	dup_species_across_trios
Bolbar1_Bolret2_Bolnob3	fungi	C	Bolnob3	GCA_038088815.1	
Bolnan1_Boltom2_Bolmar3	fungi	A	Bolnan1	GCA_038093035.1	
Bolnan1_Boltom2_Bolmar3	fungi	B	Boltom2	GCA_038092475.1	
Bolnan1_Boltom2_Bolmar3	fungi	C	Bolmar3	GCA_038093055.1	
Bolrex1_Bolret2_Boledu3	fungi	A	Bolrex1	GCA_038088795.1	
Bolrex1_Bolret2_Boledu3	fungi	B	Bolret2	GCA_018397855.1	dup_species_across_trios
Bolrex1_Bolret2_Boledu3	fungi	C	Boledu3	GCA_015179015.1	
Bolsem1_Boltyl2_Bolpse3	fungi	A	Bolsem1	GCA_038090295.1	
Bolsem1_Boltyl2_Bolpse3	fungi	B	Boltyl2	GCA_038093875.1	
Bolsem1_Boltyl2_Bolpse3	fungi	C	Bolpse3	GCA_038092835.1	
Bolvar1_Boledu2_Bolrex3	fungi	A	Bolvar1	GCA_038092395.1	
Bolvar1_Boledu2_Bolrex3	fungi	B	Boledu2	GCA_015179015.1	
Bolvar1_Boledu2_Bolrex3	fungi	C	Bolrex3	GCA_038088795.1	
Bomhut1_Bommor2_Bomman3	arthropoda	A	Bomhut1	GCA_002197625.1	
Bomhut1_Bommor2_Bomman3	arthropoda	B	Bommor2	GCF_030269925.1	
Bomhut1_Bommor2_Bomman3	arthropoda	C	Bomman3	GCF_003987935.1	
Casorn1_Casxam2_Casand3	cnidaria	A	Casorn1	GCA_964304725.1	
Casorn1_Casxam2_Casand3	cnidaria	B	Casxam2	GCA_964235115.1	
Casorn1_Casxam2_Casand3	cnidaria	C	Casand3	GCA_018155075.1	
Chrfus1_Chrqui2_Chrche3	cnidaria	A	Chrfus1	GCA_009936425.2	
Chrfus1_Chrqui2_Chrche3	cnidaria	B	Chrqui2	GCA_014526335.2	
Chrfus1_Chrqui2_Chrche3	cnidaria	C	Chrche3	GCA_011763395.2	
Crypar1_Cryhom2_Crycun3	apicomplexa	A	Crypar1	GCF_000165345.1	
Crypar1_Cryhom2_Crycun3	apicomplexa	B	Cryhom2	GCF_000006425.1	
Crypar1_Cryhom2_Crycun3	apicomplexa	C	Crycun3	GCA_004337835.1	
